"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Book POST API","0","0","Create a new book with missing mandatory fields - author","0"
"0","","0","Book PUT API","1","0","User cannot update a book","0"
"0","","4","Career Opportunities Page","0","0","","0"
"0","","0","Book PUT API","1","0","Update a book with an Invalid Book id","0"
"0","","0","Book GET by ID API","1","0","Authentication fails with empty username and password","0"
"0","","0","Book GET by ID API","1","0","Authentication fails with invalid username or password","0"
"1","","0","Currency Selection","0","0","","0"
"0","","1","Book DELETE API","0","0","Delete a book by user successfully","0"
"0","","0","Book GET by ID API","1","0","Retrieve a non-existing book by ID","0"
"0","","0","Wishlist Management","1","0","","0"
"0","","0","Book POST API","1","0","Create a new book successfully created","0"
"0","","0","Book GET All API","2","0","Retrieve all books successfully","0"
"1","","0","Product Search using search bar","0","0","","0"
"0","","1","Product Filtering by Price Range","4","0","","0"
"1","","0","Exclude Stock Out Functionality","0","0","","0"
"0","","0","Book DELETE API","1","0","Admin cannot delete a book created by a user","0"
"1","","0","Brand Filtering Functionality","0","0","","0"
"0","","1","Book PUT API","0","0","Update a book with an empty title","0"
"0","","1","Book PUT API","0","0","Admin can update a book successfully","0"
"0","","1","Book POST API","0","0","Validate is middle spaces and leading and trailing spaces are trimmed when creating a book","0"
"0","","1","Book POST API","0","0","Validate book creation with custom id","0"
"0","","1","Book DELETE API","0","0","User cannot delete a book created by admin","0"
"0","","1","Book DELETE API","0","0","Delete a book by admin successfully","0"
"0","","1","Book DELETE API","0","0","Create a book for delete","0"
"1","","0","Product Subcategory Price Update","0","0","","0"
"1","","0","Product Comparison Management","0","0","","0"
"0","","1","Book POST API","0","0","Create a New Book With Missing Mandatory Fields  - title","0"
"0","","1","Book PUT API","0","0","Update a book with an empty author","0"
"1","","0","Service Center Search Functionality","0","0","","0"
"0","","1","Book GET by ID API","0","0","Retrieve a book by ID successfully","0"
