"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104","Create a new book with missing mandatory fields - author","","Fri Jan 03 22:26:50 GMT 2025","failed","Fri Jan 03 22:26:50 GMT 2025","","Book POST API","Create a new book with missing mandatory fields - author",""
"","106","User cannot update a book","","Fri Jan 03 22:26:51 GMT 2025","passed","Fri Jan 03 22:26:51 GMT 2025","","Book PUT API","User cannot update a book",""
"","5281","Verify job listings visibility","","Fri Jan 03 22:30:49 GMT 2025","failed","Fri Jan 03 22:30:54 GMT 2025","","","",""
"","90","Update a book with an Invalid Book id","","Fri Jan 03 22:26:51 GMT 2025","passed","Fri Jan 03 22:26:51 GMT 2025","","Book PUT API","Update a book with an Invalid Book id",""
"","5534","Verify Singer.lk link redirection","","Fri Jan 03 22:30:59 GMT 2025","failed","Fri Jan 03 22:31:05 GMT 2025","","","",""
"","111","Authentication fails with empty username and password","","Fri Jan 03 22:26:48 GMT 2025","passed","Fri Jan 03 22:26:48 GMT 2025","","Book GET by ID API","Authentication fails with empty username and password",""
"","112","Authentication fails with invalid username or password","","Fri Jan 03 22:26:48 GMT 2025","passed","Fri Jan 03 22:26:48 GMT 2025","","Book GET by ID API","Authentication fails with invalid username or password",""
"","60284","When a currency is selected the price of the products should be the same as the currency","","Fri Jan 03 22:32:07 GMT 2025","broken","Fri Jan 03 22:33:08 GMT 2025","","","",""
"","127","Delete a book by user successfully","","Fri Jan 03 22:26:49 GMT 2025","failed","Fri Jan 03 22:26:49 GMT 2025","","Book DELETE API","Delete a book by user successfully",""
"","118","Retrieve a non-existing book by ID","","Fri Jan 03 22:26:48 GMT 2025","passed","Fri Jan 03 22:26:48 GMT 2025","","Book GET by ID API","Retrieve a non-existing book by ID",""
"","11989","Verify product added to wishlist is displayed in the wishlist page","","Fri Jan 03 22:29:29 GMT 2025","passed","Fri Jan 03 22:29:41 GMT 2025","","","",""
"","656","Create a new book successfully created","","Fri Jan 03 22:26:49 GMT 2025","passed","Fri Jan 03 22:26:50 GMT 2025","","Book POST API","Create a new book successfully created",""
"","239","Retrieve all books successfully","","Fri Jan 03 22:26:48 GMT 2025","passed","Fri Jan 03 22:26:49 GMT 2025","","Book GET All API","Retrieve all books successfully",""
"","60295","Verify product search using search bar","","Fri Jan 03 22:35:12 GMT 2025","broken","Fri Jan 03 22:36:12 GMT 2025","","","",""
"","18344","Validate product filtering by price range","","Fri Jan 03 22:29:11 GMT 2025","passed","Fri Jan 03 22:29:29 GMT 2025","","","",""
"","18349","Validate product filtering by price range","","Fri Jan 03 22:28:15 GMT 2025","passed","Fri Jan 03 22:28:34 GMT 2025","","","",""
"","62275","Verify Exclude Stock Out button displays only in-stock products","","Fri Jan 03 22:33:08 GMT 2025","broken","Fri Jan 03 22:34:10 GMT 2025","","","",""
"","115","Admin cannot delete a book created by a user","","Fri Jan 03 22:26:49 GMT 2025","passed","Fri Jan 03 22:26:49 GMT 2025","","Book DELETE API","Admin cannot delete a book created by a user",""
"","62305","Verify a brand displays only that brand's products","","Fri Jan 03 22:29:41 GMT 2025","broken","Fri Jan 03 22:30:44 GMT 2025","","","",""
"","105","Update a book with an empty title","","Fri Jan 03 22:26:51 GMT 2025","failed","Fri Jan 03 22:26:51 GMT 2025","","Book PUT API","Update a book with an empty title",""
"","101","Admin can update a book successfully","","Fri Jan 03 22:26:51 GMT 2025","failed","Fri Jan 03 22:26:51 GMT 2025","","Book PUT API","Admin can update a book successfully",""
"","5278","Apply for IT Operations Assistant job","","Fri Jan 03 22:30:54 GMT 2025","failed","Fri Jan 03 22:30:59 GMT 2025","","","",""
"","108","Validate is middle spaces and leading and trailing spaces are trimmed when creating a book","","Fri Jan 03 22:26:51 GMT 2025","failed","Fri Jan 03 22:26:51 GMT 2025","","Book POST API","Validate is middle spaces and leading and trailing spaces are trimmed when creating a book",""
"","5284","Verify Career Opportunities page title","","Fri Jan 03 22:30:44 GMT 2025","failed","Fri Jan 03 22:30:49 GMT 2025","","","",""
"","19019","Validate product filtering by price range","","Fri Jan 03 22:28:52 GMT 2025","passed","Fri Jan 03 22:29:11 GMT 2025","","","",""
"","116","Validate book creation with custom id","","Fri Jan 03 22:26:50 GMT 2025","failed","Fri Jan 03 22:26:51 GMT 2025","","Book POST API","Validate book creation with custom id",""
"","121","Retrieve all books successfully","","Fri Jan 03 22:26:49 GMT 2025","passed","Fri Jan 03 22:26:49 GMT 2025","","Book GET All API","Retrieve all books successfully",""
"","107","User cannot delete a book created by admin","","Fri Jan 03 22:26:49 GMT 2025","failed","Fri Jan 03 22:26:49 GMT 2025","","Book DELETE API","User cannot delete a book created by admin",""
"","97","Delete a book by admin successfully","","Fri Jan 03 22:26:49 GMT 2025","failed","Fri Jan 03 22:26:49 GMT 2025","","Book DELETE API","Delete a book by admin successfully",""
"","211","Create a book for delete","","Fri Jan 03 22:26:49 GMT 2025","failed","Fri Jan 03 22:26:49 GMT 2025","","Book DELETE API","Create a book for delete",""
"","26761","Validate product filtering by price range","","Fri Jan 03 22:27:49 GMT 2025","failed","Fri Jan 03 22:28:15 GMT 2025","","","",""
"","62279","Verify product price changes after switching product subcategory","","Fri Jan 03 22:34:10 GMT 2025","broken","Fri Jan 03 22:35:12 GMT 2025","","","",""
"","18167","Validate product filtering by price range","","Fri Jan 03 22:28:34 GMT 2025","passed","Fri Jan 03 22:28:52 GMT 2025","","","",""
"","62277","Verify Comparison Functionality Displays Correct Product Details","","Fri Jan 03 22:31:05 GMT 2025","broken","Fri Jan 03 22:32:07 GMT 2025","","","",""
"","120","Create a New Book With Missing Mandatory Fields  - title","","Fri Jan 03 22:26:50 GMT 2025","failed","Fri Jan 03 22:26:50 GMT 2025","","Book POST API","Create a New Book With Missing Mandatory Fields  - title",""
"","95","Update a book with an empty author","","Fri Jan 03 22:26:51 GMT 2025","failed","Fri Jan 03 22:26:51 GMT 2025","","Book PUT API","Update a book with an empty author",""
"","62279","Verify service center agents appear after searching for a city","","Fri Jan 03 22:36:12 GMT 2025","broken","Fri Jan 03 22:37:15 GMT 2025","","","",""
"","3489","Retrieve a book by ID successfully","","Fri Jan 03 22:26:44 GMT 2025","failed","Fri Jan 03 22:26:48 GMT 2025","","Book GET by ID API","Retrieve a book by ID successfully",""
