"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17733","Validate product filtering by price range","","Fri Jan 03 10:58:46 IST 2025","broken","Fri Jan 03 10:59:04 IST 2025","","","",""
"","2878","Login with valid credentials","","Thu Jan 02 20:28:27 IST 2025","passed","Thu Jan 02 20:28:29 IST 2025","","","",""
"","17612","Validate product filtering by price range","","Fri Jan 03 10:59:21 IST 2025","passed","Fri Jan 03 10:59:39 IST 2025","","","",""
"","11736","Verify product added to wishlist is displayed in the wishlist page","","Fri Jan 03 10:58:29 IST 2025","passed","Fri Jan 03 10:58:41 IST 2025","","","",""
"","16813","Validate product filtering by price range","","Fri Jan 03 10:59:04 IST 2025","passed","Fri Jan 03 10:59:21 IST 2025","","","",""
"","8955","Verify product added to wishlist is displayed in the wishlist page","","Fri Jan 03 00:22:56 IST 2025","passed","Fri Jan 03 00:23:05 IST 2025","","","",""
"","27295","User registration with existing email address","","Thu Jan 02 20:27:59 IST 2025","passed","Thu Jan 02 20:28:27 IST 2025","","","",""
"","5701","Verify Comparison Functionality Displays Correct Product Details","","Fri Jan 03 10:58:41 IST 2025","broken","Fri Jan 03 10:58:46 IST 2025","","","",""
"","18008","Validate product filtering by price range","","Fri Jan 03 10:59:58 IST 2025","passed","Fri Jan 03 11:00:16 IST 2025","","","",""
"","15339","User registration with valid data","","Thu Jan 02 20:27:44 IST 2025","passed","Thu Jan 02 20:27:59 IST 2025","","","",""
"","18977","Validate product filtering by price range","","Fri Jan 03 10:59:39 IST 2025","passed","Fri Jan 03 10:59:58 IST 2025","","","",""
